!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
moment mal... ich glaube, ich hab' da was ganz wichtiges zu nehmen vergessen!	¤£¡A§Ú¦n¹³§Ñ¤F®³¼Ë¦³¥ÎªºªF¦è¡K¡K
much too spicy!inedible! wretch! these meat balls are much too spicy!	Ãø¦Y¦º¤F¡I³o¨Ç¦×¤Y»¶¹LÀY¤F¡I
munis du contenu de l'armoire des gardes, dont la cl‚ aura ‚t‚ forg‚e dans de la ferraille grƒce … son empreinte, les gobliins doivent soulever le couvercle du puits en accrochant schwarzy au palan. ils n'y parviendront qu'en d‚tournant son attention: tandis que fingus actionne la mƒchoire du monstre, WINKLE parle par sa bouche. il faudra ensuite effrayer schwarzy pour lui faire perdre l'‚quilibre...	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
muniti del contenuto dell'armadio delle guardie, la cui chiave Š stata fabbricata grazie all'impronta avuta, i gobliins devono sollevare il coperchio del pozzo appendendo schwarzy al paranco. ci riusciranno distraendolo : mentre fingus mette in azione la mascella del mostro, winkle parla attraverso la sua bocca. bisogner… poi spaventarlo per fargli perdere l'equilibrio...	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
muy bien: vendemos cepillos...	¨ä¹ê¡A§Ú­Ì¬O¨Ó½æ¨ê¤lªº¡K¡K
mssen diese beiden maulaffen ein biáchen ableken...	±o·Q¿ìªk¤Ş¶}³o¨â­Ó¦ÑÀY¤l¡C
na, alter ast! wie schaut's? willste endlich wurzeln schlagen?	¦Ñ¤ìÀY¡AÁÙ¦b¨ºÃä¥Í®Ú³á¡H
nachdem der narrenprinz den schlafbringenden pilz verzehrt hat, zieht er die gobliins in seine traumspiele mit hinein... um ihn aus der blase herauszube- kommen, in den ihn die beiden vor- sichtshalber eingeschlossen haben, mssen sie eine nadel bekommen, indem sie einen deckel als katapult benutzen, auf dem sie sich mit einer bowlingkugel gestellt haben.	¤p¤¡¤ı¤l¦Y¤FÁû°g¤ÛÄ¨Û£¡A§â¨â°¦¤pºëÆF©ì¶i¥Lªº¹CÀ¸¹Ú¸Ì¡C¥L­Ì±o¥ı§â¥LÃö¶iªwªw¸Ì¡A¦A·Q¿ìªk§Ë®Ú¦w¥ş§O°w©ñ¥L¥X¨Ó¡G½òµÛ«OÄÖ²y¯¸¤WÁç»\¡A§Q¥Î¼u¤O§â§O°w¼u¥X¨Ó¡C
near the doomed castle everything has gone crazy. when you go into the house it's difficult to know where you'll come out. to open the door of tom, the master clockmaker, you need the help of the mayor, once you get his attention. But tom won't give the gobliins an example of his skill until they replace the awful tick-tock of his clock with a short melody composed by talented musicians.	«°³ùªşªñ¥ş¶Ã¤F®M¡A¨«¶iÄÁ¾ğªºªù¡A¥X¨Ó·|¨ì­ş½Ö¤]»¡¤£·Ç¡C­nÅıÄÁ¿ö¤j®v´ö©i¶}ªù¡A±o¥ı¥Î®ğ²y¤Ş¶}§øªøªºª`·N¤O¡C¦ı´ö©i±oµ¥¥L­Ì§â®ÉÄÁ¨ë¦ÕªººwµªÁn´«¦¨´X¦ì¼Ö¤âÃĞªºµu¦±¡A¤~ªÖÅS¤@¤â¡C
nehmt doch den teppich, wenn ihr mich sehen wollt. von hier h”r ich nichts!	­É¦a´à¤W¨Ó¨£§Ú¡A³o¸ÌÅ¥¤£²M·¡¡I
nei paraggi del castello tutto appare sconvolto. quando si entra nell'albero, Š difficile immaginare quale sia l'uscita... per farsi aprire la porta di tom, il mastro-orologiaio, bisogna chiedere aiuto al borgomastro di cui sar… attirata l'attenzione. ma tom consegner… ai gobliins un esempio della sua arte solo se riusciranno a sostituire il tic-tac discordante dell'orologio con alcune note di una melodia composta da qualche musicista di talento	«°³ùªşªñ¥ş¶Ã¤F®M¡A¨«¶iÄÁ¾ğªºªù¡A¥X¨Ó·|¨ì­ş½Ö¤]»¡¤£·Ç¡C­nÅıÄÁ¿ö¤j®v´ö©i¶}ªù¡A±o¥ı¥Î®ğ²y¤Ş¶}§øªøªºª`·N¤O¡C¦ı´ö©i±oµ¥¥L­Ì§â®ÉÄÁ¨ë¦ÕªººwµªÁn´«¦¨´X¦ì¼Ö¤âÃĞªºµu¦±¡A¤~ªÖÅS¤@¤â¡C
nein danke! aber ich gestatte euch, einen apfel zu nehmen, wenn ihr wollt!	¤£¦æ¡I¤£¹L§A­Ì¥i¥H®³ÁûÄ«ªG¡I
nein! aber perlen und diamenten in mengen, wenn man nur richtig sucht!	¨S¦³¡I¦ı¥J²Ó§ä´N¦³¬Ã¯]©MÆp¥Û¡K¡K
nein! hunger hab ich, wolfshunger!	¤£¦æ¡I§Ú¾j¤F¡I¯uªº¾j¤F¡I
nein, ich bin hier eingesperrt, damit ich meine trauer in gesang umsetze...	¤£¡A§â§ÚÃö¦b³o°Û´dºq¡K¡K
nein, nein - ich hab vielzu viel respekt vor der hohen kochkunst dafšr!	¤£¦æ¡A§Ú¤Ó´L­«¼pÃÀ¤F¡K¡K
nein, vooorsicht, das l„uft ber... und dann schmeisst er das ganze weg!	¤£¦æ¡A·|ºw¥X¨Ó¡A¥L·|§â¥¦¥á±¼¡K¡K
nein... eher ziemlich kšhl!	¤£¡K¡K¦³ÂI²D©O¡I
never! it's your fault I'm here in the in the kingdom of gloom and doom!	¤£¡I§Ú·|§x¦b­ß¬É³£¬O§A­Ì®`ªº¡I
never! it's your fault I'm here in the kingdom of death!	¤£¡I§Ú·|§x¦b­ß¬É³£¬O§A­Ì®`ªº¡I
niente da fare mostriciattolo! non voglio venire con te!	·Q³£§O·Q¡A©Çª«¡I§Ú¤~¤£¸ò§A¨«¡I
nimm mich da runter, damit ich es dem d„monen zeigen kann, der kriegt seins..	©ñ§Ú¤U¨Ó¡AÅı§Ú¦n¦n±Ğ°V¨º´cÅ]¡K¡K
no ... piuttosto freschetto !	¤£¡K¡K¦³ÂI²D©O¡I
no hope of that, you monster! i don't want to go with you!	·Q³£§O·Q¡A©Çª«¡I§Ú¤~¤£¸ò§A¨«¡I
no! but there may be pearls and diamonds if you look really hard...	¨S¦³¡I¦ı¥J²Ó§ä´N¦³¬Ã¯]©MÆp¥Û¡K¡K
no! but there must be pearls and diamonds if you really look hard...	¨S¦³¡I¦ı¥J²Ó§ä´N¦³¬Ã¯]©MÆp¥Û¡K¡K
no! but you've my permission to take an apple.	¤£¦æ¡I¤£¹L§A­Ì¥i¥H®³ÁûÄ«ªG¡I
no! ho fame! ho fame!	¤£¦æ¡I§Ú¾j¤F¡I¯uªº¾j¤F¡I
no! i'm hungry! i'm starving!	¤£¦æ¡I§Ú¾j¤F¡I¯uªº¾j¤F¡I
no! i'm hungry, i'm starving!	¤£¦æ¡I§Ú¾j¤F¡I¯uªº¾j¤F¡I
no! ma perle e diamanti in abbondanza se si cerca bene...	¨S¦³¡I¦ı¥J²Ó§ä´N¦³¬Ã¯]©MÆp¥Û¡K¡K
no! ma vi autorizzo a prendere una mela se volete!	¤£¦æ¡I¤£¹L§A­Ì¥i¥H®³ÁûÄ«ªG¡I
no, but you have my permission to take an apple.	¤£¦æ¡I¤£¹L§A­Ì¥i¥H®³ÁûÄ«ªG¡I
no, i think i've left something really useful...	¤£¡A§Ú¦n¹³§Ñ¤F®³¼Ë¦³¥ÎªºªF¦è¡K¡K
no, i think we left something really useful...	¤£¡A§Ú¦n¹³§Ñ¤F®³¼Ë¦³¥ÎªºªF¦è¡K¡K
no, mi rinchiudono qui perch‚ canti la mia tristezza...	¤£¡A§â§ÚÃö¦b³o°Û´dºq¡K¡K
no, they put me in the cage just to hear me sing of my unhappiness!	¤£¡A§â§ÚÃö¦b³o°Û´dºq¡K¡K
no, they put me in the cage to sing my unhappiness...	¤£¡A§â§ÚÃö¦b³o°Û´dºq¡K¡K
no... it's rather chilly!	¤£¡K¡K¦³ÂI²D©O¡I
no... me parece que he olvidado un objeto muy £til.	¤£¡A§Ú¦n¹³§Ñ¤F®³¼Ë¦³¥ÎªºªF¦è¡K¡K
no... mi sembra di aver dimenticato qualche oggetto molto utile...	¤£¡A§Ú¦n¹³§Ñ¤F®³¼Ë¦³¥ÎªºªF¦è¡K¡K
no... rather chilly!	¤£¡K¡K¦³ÂI²D©O¡I
no... ­m s bien fresquito!	¤£¡K¡K¦³ÂI²D©O¡I
nobile borgomastro, a chi appartiene questa bella casa sempre chiusa?	´L¶Qªº§øªø¡A¨º¶¡¥´¦º¤£¶}ªº©Ğ¤l¬O½Öªº¡H
nobile mago, ci concede di incontrarla?	´L¶Qªº§Å®v¡A½Ğ®e§Ú­Ì¨D¨£¡C
nobile mago, pu• aiutarci a far bere il principe?	´L·qªºªk®v¡A¯àÀ°¤ı¤l³Ü¤ô¶Ü¡H
nobile musicista potrebbe interpretare una variazione di sua scelta?	´L¶Qªº¼Ö¤â¡A¯à¬°§Ú­ÌÅÜ«µ¤@¦±¶Ü¡H
noble bourgmestre … qui est cette jolie maison qui reste obstin‚ment close?	´L¶Qªº§øªø¡A¨º¶¡¥´¦º¤£¶}ªº©Ğ¤l¬O½Öªº¡H
noble burgomaestre, ¨de qui‚n es esa casa tan bella y tozudamente cerrada?	´L¶Qªº§øªø¡A¨º¶¡¥´¦º¤£¶}ªº©Ğ¤l¬O½Öªº¡H
noble burgomaster, whose is that lovely house which refuses to open?	´L¶Qªº§øªø¡A¨º¶¡¥´¦º¤£¶}ªº©Ğ¤l¬O½Öªº¡H
noble magician, can you help us make the prince drink the water?	´L·qªºªk®v¡A¯àÀ°¤ı¤l³Ü¤ô¶Ü¡H
noble magicien pouvez-vous nous aider … faire boire le prince?	´L·qªºªk®v¡A¯àÀ°¤ı¤l³Ü¤ô¶Ü¡H
noble magicien, permettez-nous de solliciter un entretien...	´L¶Qªº§Å®v¡A½Ğ®e§Ú­Ì¨D¨£¡C
noble mago, permitidnos que os solicitemos una entrevista...	´L¶Qªº§Å®v¡A½Ğ®e§Ú­Ì¨D¨£¡C
noble musician, could you give us a few variations on a theme?	´L¶Qªº¼Ö¤â¡A¯à¬°§Ú­ÌÅÜ«µ¤@¦±¶Ü¡H
noble musicien pouvez-vous nous interpr‚ter une variation sur un thŠme?	´L¶Qªº¼Ö¤â¡A¯à¬°§Ú­ÌÅÜ«µ¤@¦±¶Ü¡H
noble m£sico, ¨podr¡a tocar para ambos una variaci¢n sobre un tema?	´L¶Qªº¼Ö¤â¡A¯à¬°§Ú­ÌÅÜ«µ¤@¦±¶Ü¡H
noble wizard, please let me speak to you.	´L¶Qªº§Å®v¡A½Ğ®e§Ú­Ì¨D¨£¡C
non avete sete questa volta?	³o¦¸¤£´÷¤F¶Ü¡H
non ci saranno mica dei tesori da scovare nei paraggi?	³oªşªñ·|¤£·|¦³Ä_ÂÃ°Ú¡H
non me ne parlate! voi almeno potete utilizzare la carta magica per questo!	§O´£¤F¡I¤£¹L§A­Ì¥i¥H¥ÎÅ]ªk¥d¡I
non ne posso pi— di girare a vuoto! indicateci l'uscita, millepiedi!	­ü¡AÂ¶°éÂ¶·Ğ¤F¡I¸¼°G¡A±a¸ô¥X¥h¡I
non posso fare la chiave, se non mi date l'impronta!	¨S¦³©İ¦L¡A§Ú¥´¤£¥XÆ_°Í¡I
non! j'ai faim! j'ai faim!	¤£¦æ¡I§Ú¾j¤F¡I¯uªº¾j¤F¡I
non! mais des perles et des diamants … profusion si on cherche bien...	¨S¦³¡I¦ı¥J²Ó§ä´N¦³¬Ã¯]©MÆp¥Û¡K¡K
non! mais je vous autorise … prendre une pomme si vous voulez!	¤£¦æ¡I¤£¹L§A­Ì¥i¥H®³ÁûÄ«ªG¡I
non, on m'enferme ici pour que je chante ma tristesse...	¤£¡A§â§ÚÃö¦b³o°Û´dºq¡K¡K
non... il me semble que j'ai oubli‚ quelque objet fort utile...	¤£¡A§Ú¦n¹³§Ñ¤F®³¼Ë¦³¥ÎªºªF¦è¡K¡K
non... plut“t frisquet!	¤£¡K¡K¦³ÂI²D©O¡I
nonostante l'et… avanzata, il suo sguardo Š ancora vivo!	¥L¦~¬öÁö¤j¡A²´¯«ÁÙ¬O«Ü¦³¯«¡I
not at all, my fine man, i'm just taking my bath.	¤~¨S¦³¡A¦Ñ¥S¡A§Ú¥u¬O¦b¬~¾ş¦Ó¤w¡C
not at all, my fine man. i'm just taking my bath.	¤~¨S¦³¡A¦Ñ¥S¡A§Ú¥u¬O¦b¬~¾ş¦Ó¤w¡C
nous devons retrouver le fils du roi angoulafre, enlev‚ par un d‚mon.	§Ú­Ì­n§ä¦w­ô©Ôµá¤ı³Q¾Û¨«ªº¨à¤l
nous sommes affam‚s! Il n'y a guŠre que le notable qui ait encore … manger...	§Ú­Ì§Ö¾j¦º¤F¡I¥u¦³¶m²Ô¦³±o¦Y¡C
o flesh of my flesh, my own blood, my only son...	¿W¤l°Ú¡A§Úªº¤ßÀY¦×¡K¡K
ob da wohl irgendwo ein schatz herum- liegt, der auf uns wartet?	³oªşªñ·|¤£·|¦³Ä_ÂÃ°Ú¡H
of course there's a way! get him to drink theelixir of kindness!	·íµM¦³¿ìªk¡IÅı¥L³Ü¤U¤¯·OÃÄ¤ô´N¦æ¡I
of course there's a way! get him to taste theelixir of kindness!	·íµM¦³¿ìªk¡IÅı¥L³Ü¤U¤¯·OÃÄ¤ô´N¦æ¡I
oh carne de mi carne,sangre de mi sangre, hijo £nico...	¿W¤l°Ú¡A§Úªº¤ßÀY¦×¡K¡K
oh du einziger sproá meiner lenden, mein fleisch & blut!	¿W¤l°Ú¡A§Úªº¤ßÀY¦×¡K¡K
oh flesh of my flesh, my own blood, my only son...	¿W¤l°Ú¡A§Úªº¤ßÀY¦×¡K¡K
oh s, mille grazie! ma posso aprirvi solo a met…...	³á¡A¤ÓÁÂÁÂ¤F¡I¤£¹L§Ú¥u¯à¶}¤@¥bªº¸ô¡K¡K
oh yes, i do love him. He has made me his official food taster!	·íµM·R°Ú¡I¥LÁÙ«Ê§Ú·í±s¥Î¸Õµæ©x©O¡I
oh yes, i do love him. He has made me his official foodtaster!	·íµM·R°Ú¡I¥LÁÙ«Ê§Ú·í±s¥Î¸Õµæ©x©O¡I
oh! carne della mia carne mio unico figlio....	¿W¤l°Ú¡A§Úªº¤ßÀY¦×¡K¡K
oh, ama de casa, ¨no tendr¡a un canasto?	³Ş¡A¤jÂT¡A¦³Äx¤l­É¤@¤U¶Ü¡H
oh...? so you're off, eh? think again! you're stuck here forever like me!	³á¡H§A·Q¨«¡H§@¹Ú¡I§A¸ò§Ú¤@¼Ë¥Ã»·§x¦b³o
oh? so you're off? not a chance! you're stuck here forever like me!	³á¡H§A·Q¨«¡H§@¹Ú¡I§A¸ò§Ú¤@¼Ë¥Ã»·§x¦b³o
oil… amico funzionario! cosa c'Š da vedere da queste parti?	¶Ù¡A¤½°È­û¤j¤H¡A³oªşªñ¦³¤°»ò¦n¬İªº¡H
ok aber erstmal was zu saufen!	¦n°Ú¡A¥ı®³¦n°s¨Ó¡I
ok bEARDY, tell us where to go AND make it snappy!	¦n°ÕÄG¤l¨Ğ¡I§Ö«ü¸ô¡A°Ê°Ê¸£¡I
ok bEARDY, tell us where to go AND think quick!	¦n°ÕÄG¤l¨Ğ¡I§Ö«ü¸ô¡A°Ê°Ê¸£¡I
ok barbu! indique-nous le chemin et active-toi le haricot!	¦n°ÕÄG¤l¨Ğ¡I§Ö«ü¸ô¡A°Ê°Ê¸£¡I
ok barbuto! indicaci la via, ma sbrigati!	¦n°ÕÄG¤l¨Ğ¡I§Ö«ü¸ô¡A°Ê°Ê¸£¡I
ok midget, but bring me some good booze first!	¦n°Ú¤p¸G¤l¡A¥ı®³¦n°s¨Ó¦A»¡¡I
ok, aber erst der imbiá, sonst l„uft nix!	¦n°Ú¡A¥ıµ¹§ÚªF¦è¦Y¡I
ok, but bring me some good WINE!	¦n°Ú¡A¥ı®³¦n°s¨Ó¡I
ok, but bring me some good chow!	¦n°Ú¡A¥ı®³¦n°s¨Ó¡I
ok, but give me something to eat!	¦n°Ú¡A¥ıµ¹§ÚªF¦è¦Y¡I
on t'amŠne un champignon collŠgue! Attention c'est du bon!	¦Ñ¥S¡A³oÄ¨Û£°e§A¡A¶W¦n¦Yªº¡I
on the way out of the village stood the famous castle they decided to make a tour of it	§ø¥~¦³®y«°³ù¡A¨â¤H¨M©w³}³}
oui! mais je ne puis vous l'indiquer Puisque l'on m'a vol‚ mes deux yeux!	ª¾¹D¡A¦ı§Ú²´·ú³Q°½¤F¡A«ü¤£¤F¸ô
outside the village stands a famous castle. They decide to take a tour!	§ø¥~¦³®y«°³ù¡A¨â¤H¨M©w³}³}
ow!	«u­ò¡I
para acceder a este castillo, tirad a la zanja un poco de la arena del tiempo	·Q¶i«°³ù¡A§â®É¶¡¨F¥á¶iÀ¢·¾¡I
para neutralizar a umkapok, hay que rociar una de las alb¢ndigas que le prepara el cocinero con el el¡xirde la BONDAD. Para ello los gobliins deben desatar la ira de umkapok, a quien definitivamente no le gustan las alb¢ndigas demasiado picantes, y aprovechar el momento en el que agarra al cocinero para meterle una chincheta en la caja. para acceder a las chinchetas hay que serrarla cadena de colibrius. la herramienta la porporciona el hombre de la marmita.	­n¨î¥ñ¯Î¥dªi¡A±o§â¤Íµ½ÃÄ¤ôÅx¶i¼p®v°µªº¦×¤Y¸Ì¡C±o¥ı·S¥L¥Í®ğ¡]¥L³Ì°Q¹½¦×¤Y¤Ó»¶¡^¡A¶X¥L¼³¦V¼p®v®É¡A§â¹Ï°v©ñ¤W´È¹Ô¡C±o¥ı¿÷Â_¬ì§Q¤ñªºÂêÃì¤~®³±o¨ì¹Ï°v¡AÁç¸Ìªº¤p¤H·|µ¹§A¤u¨ã¡C
pardonnez-nous... mais il faut nous aider … recouvrer lalibert‚!	©êºp¡A¦ı§A­Ì±oÀ°§Ú­Ì­«Àò¦Û¥Ñ¡I
pas de problŠme! voici un morceau de ma composition!	¨S°İÃD¡I³o­º¬O§Ú¦Û¤v¼gªº¦±¤l¡K¡K
pas enchant‚ de t'avoir connu carnaval! maintenant on s'en va! ciao!	»{ÃÑ§A¯u°÷­Ë·°¡A¯ä¤¡¨¤¡AÙTÙT¡I
pas impossible petit, mais il faut pour les ouvrir des muscles bien marins!	¤£¬O¨S¥i¯à¡A¦ı±o¦³¤ô¤âªº¦Ù¦×¤~¦æ¡I
pas question espŠce de monstre! je ne veux pas venir avec toi!	·Q³£§O·Q¡A©Çª«¡I§Ú¤~¤£¸ò§A¨«¡I
passeggia sempre tutta nuda?	§A³£³o¼Ë¥ú·È·È¨ì³B¶]³á¡H
pazienza amico fabbro, stiamo cercando quello che ci hai chiesto...	­@¤ßÂI¡AÅK¦K¡A§Ú­Ì·|§ä§A­nªº¡K¡K
per accedere al castello, gettate nei fossati un po' di sabbia del tempo...	·Q¶i«°³ù¡A§â®É¶¡¨F¥á¶iÀ¢·¾¡I
per accedere al regno dei morti, bisogna trovare da tazaar la mistura che, alla temperatura giusta, apre tutte le porte. per fare questo, i gobliins devono innervosire un po' il mago per poter recuperare alcuni oggetti, tra i quali quello che permette di sbloccare lo scheletro.	­n¥h­ß¬É¡A±o¥ı¦b¶ğÂÄº¸¨º¸Ì§ä¨ì¨º²~ÃÄ¤ô¡A¥[¼ö¨ì¹ïªº·Å«×´N¯à¥´¶}©Ò¦³ªºªù¡C±o·Q¿ìªk·S´o³o¦ìÅ]ªk®v¡A¤~¯à¶¶¤â®³¨ì´X¼ËªF¦è¡A¨ä¤¤¤@¼Ë¯à§â¾uÅ\©ñ¥X¨Ó¡C
per cortesia signora, ci potrebbedire come arrivare alla sala del trono?	«ô°U¡A¤Ò¤H¡A½Ğ§i¶D§Ú­Ì¥h¤ı®yÆUªº¸ô¡I
per favore, gigante buono... svegliati!	«ô°U¡A¦n¤ßªº¥¨¤H¡A¿ô¿ô§a¡I
per l'appunto...ho la chitarra che mi solletica le dita!	¦n°Ú¦n°Ú¡I§Ú¤âÄo¥¿·Q¼u¦N¥L©O¡K¡K
per neutralizzare oumkapok, bisogna annaffiare una delle polpette preparate dal cuoco con il gentisir. per farlo i gobliins devono scatenare la collera di oumkapok che detesta le polpette troppo saporite, e approfittare del momento in cui aggredisce il cuoco per mettere una puntina sopra la sua sedia. per prendere la puntina, bisogna segare la catena di colibrius : Š l'omino del paiolo che fornisce l'attrezzo.	­n¨î¥ñ¯Î¥dªi¡A±o§â¤Íµ½ÃÄ¤ôÅx¶i¼p®v°µªº¦×¤Y¸Ì¡C±o¥ı·S¥L¥Í®ğ¡]¥L³Ì°Q¹½¦×¤Y¤Ó»¶¡^¡A¶X¥L¼³¦V¼p®v®É¡A§â¹Ï°v©ñ¤W´È¹Ô¡C±o¥ı¿÷Â_¬ì§Q¤ñªºÂêÃì¤~®³±o¨ì¹Ï°v¡AÁç¸Ìªº¤p¤H·|µ¹§A¤u¨ã¡C
per niente lieto di averti conosciuto, pagliaccio! adesso andiamo via! ciao	»{ÃÑ§A¯u°÷­Ë·°¡A¯ä¤¡¨¤¡AÙTÙT¡I
perch‚ avete rapito il nostro buffone? Š un principe...	¬°¦ó§ì¨«§Ú­Ìªº¤p¤¡¡H¥L¨ä¹ê¬O¤ı¤l¡K¡K
perdi il tuo tempo, microbo! qui ci sono solo clessidre...	¥Õ·ö¡A§O®ö¶O®É¶¡¡A³o¸Ì¥u¦³¨Fº|¡K¡K
perdonateci ... ma dovete aiutarci a riconquistare lanostra libert…!	©êºp¡A¦ı§A­Ì±oÀ°§Ú­Ì­«Àò¦Û¥Ñ¡I
perd¢name, amigo, el demonio me ha atacado. Debo recuperarme...	©êºpªB¤Í¡A§Ú³Q´cÅ]¥´·w¤F¡A±o½w½w¡K¡K
perd¢nenos... ­pero es preciso ayudarnos a recobrar la libertad!	©êºp¡A¦ı§A­Ì±oÀ°§Ú­Ì­«Àò¦Û¥Ñ¡I
pertrechados con el contenido del armario de los guardianes, cuya llave est  forjada en hojalata gracias a su huella, los gobliins tienen que levantar la tapadera del pozo colgando a schwarzy de la polea. solo lo conseguir n distrayendolo: mientras fingus acciona la mand¡bula del monstruo, winkle habla por su boca. despu‚s tendr n que espantar a schwarzy para desequilibrarlo...	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
pese a su avanzada edad, ­‚l sigue con el ojo vivo!	¥L¦~¬öÁö¤j¡A²´¯«ÁÙ¬O«Ü¦³¯«¡I
petit prince, de grƒce! vous nous retardez... allez venez!	¤p¤ı¤l¡A«ô°U§O©ì®É¶¡¡A§Ö¸ò¤W¡I
pezzo d'insolente! se ne avessi uno te lo sbatterei sul tuo brutto muso!	§A³oµLÂ§°­¡I¦³ªº¸Ü¦­´N½à§A¤@¤Ú´x¡I
pierdes tu tiempo, renacuajo, aqu¡ s¢lo hay relojes de arena...	¥Õ·ö¡A§O®ö¶O®É¶¡¡A³o¸Ì¥u¦³¨Fº|¡K¡K
please accept this small gift! it's really elegant.	½Ğ¯º¯Ç³o¥÷Á¡Â§¡AÅ¥»¡¶WÉqªº¡I
please accept this small gift. it's really elegant!	½Ğ¯º¯Ç³o¥÷Á¡Â§¡AÅ¥»¡¶WÉqªº¡I
please, ma'am, show us the way to the throne room!	«ô°U¡A¤Ò¤H¡A½Ğ§i¶D§Ú­Ì¥h¤ı®yÆUªº¸ô¡I
please, nice giant, wake up!	«ô°U¡A¦n¤ßªº¥¨¤H¡A¿ô¿ô§a¡I
por favor se¤ora, ­ind¡quenos el camino a la sala del trono!	«ô°U¡A¤Ò¤H¡A½Ğ§i¶D§Ú­Ì¥h¤ı®yÆUªº¸ô¡I
por favor, buen gigante... ­despi‚rtese!	«ô°U¡A¦n¤ßªº¥¨¤H¡A¿ô¿ô§a¡I
portategli il fungo che la ninfa designer… in cambio di una ghiottoneria	§â¥P¤l«üªºÛ£®³µ¹¨e¡A°O±o¥ı°e¥÷¤pÂ§¡I
possibile piccoletto, ma per aprirli ci vogliono dei veri muscoli marini!	¤£¬O¨S¥i¯à¡A¦ı±o¦³¤ô¤âªº¦Ù¦×¤~¦æ¡I
potete cederci il passo, per piacere?	¥i¥HÅı§Ú­Ì¹L¥h¶Ü¡H
pour acc‚der … ce chƒteau, jetez dans les douves un peu de sable du temps...	·Q¶i«°³ù¡A§â®É¶¡¨F¥á¶iÀ¢·¾¡I
pour neutraliser oumkapok, il faut arroser une des boulettes, que lui confectionne le cuisinier, avec l'‚lixir de gentillesse. pour ce faire, les gobliins doivent d‚clencher la colŠre d'oumkapok qui n'aime d‚cid‚ment pas les boulettes trop ‚pic‚es, et profiter du moment o— il empoigne le cuisinier pour glisser une punaise sur la caisse. pour acc‚der aux punaises il faut scier la chaŒne de colibrius. c'est le bonhomme de la marmite qui fournit l'outil.	­n¨î¥ñ¯Î¥dªi¡A±o§â¤Íµ½ÃÄ¤ôÅx¶i¼p®v°µªº¦×¤Y¸Ì¡C±o¥ı·S¥L¥Í®ğ¡]¥L³Ì°Q¹½¦×¤Y¤Ó»¶¡^¡A¶X¥L¼³¦V¼p®v®É¡A§â¹Ï°v©ñ¤W´È¹Ô¡C±o¥ı¿÷Â_¬ì§Q¤ñªºÂêÃì¤~®³±o¨ì¹Ï°v¡AÁç¸Ìªº¤p¤H·|µ¹§A¤u¨ã¡C
pourquoi nous avez-vous enlev‚ notre bouffon? il s'agit d'un prince...	¬°¦ó§ì¨«§Ú­Ìªº¤p¤¡¡H¥L¨ä¹ê¬O¤ı¤l¡K¡K
povero amico mio, vogliono farvi cotto? vi tireremo fuori di l…!	¥i¼¦ªºªB¤Í¡A¥L­Ì·QµN¤F§A¡I§Ú­Ì±Ï§A
prima d'inghiottire questa bevanda, dovrei forse dare un'occhiatina qui!	³Ü³o­Ó¤§«e¡A­n¤£­n¦A¬İ¬İ¥|©P¡H
principino, di grazia! ci fate far tardi... forza venite!	¤p¤ı¤l¡A«ô°U§O©ì®É¶¡¡A§Ö¸ò¤W¡I
psss,sonocon voi! per accedere al trono del demone, ci vuole la chiave dell'armadio con i pesci disegnati. portatemenel'impron- ta e un pezzo di ferro eve la far•!	¼N¡I§Ú®¼§A¡I­n¶i´cÅ]¤ı®y¡A±o­n¨è³½ÂdªºÆ_°Í¡Cµ¹§Ú©İ¦L©MÅK¤ù¡A§ÚÀ°§A¥´¡I
